tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,totpop19,mdfami19,mdrent19,state,county,tract,NHW19,colleg19,A20_34y19,NHW00_19,A20_34y00_19,College00_19,mdfami00_19,mdrent00_19,mdfami00_19_log,A20_34y00_19_log,NHW00_19_log,College00_19_log,mdrent00_19_log,pc1,pc2,pc1_log,pc2_log
36005000200,Soundview-Castle Hill-Clason Point-Harding Park,3505,2059,136.0,709,171.0,50817,730,4532,51100,1559,36,005,000200,0.4234333627537511,0.19042365401588704,0.1562224183583407,9.91274953273454,-0.5463159952047624,2.9031281130156965,0.0055690024991637,1.1356164383561644,0.015449049015096663,-0.7685519829063605,2.3908477273352555,1.3643370830490036,0.7634268949421795,-0.1908611185786783,1.1406803635150653,-0.9170463232216476,2.07772938229652
36005000400,Soundview-Castle Hill-Clason Point-Harding Park,3354,1979,186.0,702,234.0,41019,643,5516,78409,1314,36,005,000400,0.4416243654822335,0.20087019579405366,0.22842639593908629,6.963484525953823,-0.35604581543667846,1.8791394730481024,0.911528803725103,1.0435458786936236,0.6531211211394506,-0.424717984163371,2.076121602519718,1.060958697594005,0.7195679958710756,0.5966594631060447,0.23457052545103413,-1.4827162879069486,0.7424547222799912
36005001600,Soundview-Castle Hill-Clason Point-Harding Park,5208,3157,294.0,1232,351.0,30104,558,5825,34093,1030,36,005,001600,0.32343347639484976,0.11158798283261803,0.2145922746781116,4.7293930104230535,-0.450107296137339,0.6556986170720078,0.13250730799893695,0.8458781362007168,0.13322524026374066,-0.5800101138558623,1.7473534574267768,0.5102446252622469,0.618357972833724,-1.0030663435802523,0.35336799299498045,0.15532911016380754,0.9823571769768406
36005001900,Mott Haven-Port Morris,1613,961,80.0,239,37.0,23671,461,3141,45156,1344,36,005,001900,0.21808341292581981,0.15281757402101243,0.3078637376631646,3.3971068131168414,0.23789561462050712,5.662020186375488,0.9076507118414938,1.9154013015184383,0.6511008492626498,0.22145862431803393,1.4832184227154068,1.8979226905877633,1.0734316683734793,3.774210205616668,-0.3531836704753138,-3.212971644728445,-1.091498746369754
36005002000,Soundview-Castle Hill-Clason Point-Harding Park,9101,4894,116.0,1799,302.0,19694,266,9040,20592,527,36,005,002000,0.3506637168141593,0.05099557522123894,0.24734513274336284,26.511986954531586,-0.3271222458888172,0.5367904969817736,0.04559764395247279,0.981203007518797,0.05410709369349226,-0.3814394191626434,3.314985210841509,0.43618213706893993,0.6887389824752859,-0.5412329230845626,0.9903499691194325,-0.5309065201177011,1.0237324243506118
36005002300,Mott Haven-Port Morris,4305,2430,41.0,827,152.0,20217,229,4302,18688,444,36,005,002300,0.13575081357508137,0.059274755927475595,0.2296606229660623,13.253835425383542,-0.32518099902354125,0.678801475445937,-0.07562942078448831,0.9388646288209608,-0.06788215368864707,-0.3786007077865324,2.6577273427337307,0.5240190912168794,0.6672469613768979,-0.7997526001371389,0.5406310180792325,-0.22292879880337224,0.8552597411158288
36005002500,Mott Haven-Port Morris,5109,2728,19.0,1212,90.0,15662,340,5610,23115,902,36,005,002500,0.19607843137254902,0.04563279857397504,0.24224598930481284,51.72445820433437,-0.4547466511357018,1.5904218657159834,0.4758651513216703,1.6529411764705881,0.3959971960955711,-0.5883307849528514,3.9652690977464244,0.955673687909957,0.9794312173916512,0.9915095323697054,1.9736666608609466,-1.8550619916355016,1.6893062354512847
36005002701,Mott Haven-Port Morris,3033,1533,35.0,595,161.0,13077,264,2608,18832,443,36,005,002701,0.11311349693251534,0.06595092024539877,0.19938650306748465,8.802092462751972,-0.48628653915553954,0.2424170254925122,0.44008564655502025,0.678030303030303,0.37162262127778983,-0.6468105746768955,2.2836155497876325,0.2250753046706793,0.5235623480447996,-1.021889019939115,0.4612849116266231,0.16159095681366803,1.2462325238620808
36005002702,Mott Haven-Port Morris,4736,2249,8.0,1114,77.0,12042,332,4560,13097,921,36,005,002702,0.11798245614035088,0.04078947368421053,0.29254385964912283,68.84561403508772,-0.4093975400800025,1.5088174982911826,0.08761003155621983,1.7740963855421685,0.09313511748509071,-0.5098220276704032,4.246430455201785,0.9237895446827928,1.0239233631164668,0.9571782436004953,2.6530319791841404,-1.6899335015690722,1.6332741707723537
36005002800,Soundview-Castle Hill-Clason Point-Harding Park,5718,3720,49.0,1121,522.0,38448,586,5151,51138,978,36,005,002800,0.1271597748010095,0.21665695981362842,0.23665307707241312,13.838767190044335,-0.2146748914278529,1.3732653184182517,0.3300561797752808,0.6689419795221843,0.2927115382894166,-0.22900430632144708,2.697916844297133,0.8684715299039901,0.5181638209302262,-0.23016589183789415,0.5717033636295811,-1.0876959275469258,0.715714977268528
36005003100,Mott Haven-Port Morris,1504,862,112.0,351,110.0,28365,616,1689,43255,1187,36,005,003100,0.20722320899940794,0.10420367081113084,0.32149200710479575,1.7827116637063352,-0.2104669227226953,0.42474837181764347,0.5249427110876079,0.926948051948052,0.42849305857565534,-0.2237273751095296,1.027013046297828,0.360989483186136,0.6611135652464628,-0.20638977308463682,-0.35661198061725596,-0.12737663200489677,-0.4521089081471953
36005003300,Mott Haven-Port Morris,3090,1490,11.0,653,50.0,11420,277,3277,22127,693,36,005,003300,0.13030210558437597,0.05065608788526091,0.19926762282575528,35.60304602324743,-0.545315837656393,2.1305462313091246,0.9375656742556917,1.5018050541516246,0.6665802205334321,-0.7663973249361461,3.6004046256171742,1.1443967438066918,0.9210016397631042,1.1551156025572844,1.5047874585691159,-2.025505618430076,2.0775903202195036
